state,move,class
rn1qkb1r/ppp2ppp/5n2/P3pb2/1P1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 1 7,f2f3,0
r2qkb1r/ppp2ppp/2n2n2/P3pb2/1P1P4/2p2P2/2P1P1PP/1RBQKBNR w Kkq - 1 8,e2e3,0
r2qkb1r/ppp2ppp/5n2/P3pb2/1n1P4/2p1PP2/2P3PP/1RBQKBNR w Kkq - 0 9,g2g4,0
r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2P1/2p1PP2/2b4P/1RBQKBNR w Kkq - 0 10,h2h4,0
r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2PP/2p1PP2/8/1RBbKBNR w Kkq - 0 11,e3e4,0
r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/2p2P2/8/1RBbKBNR w Kkq - 0 12,b1b2,0
r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/5P2/1p6/2BbKBNR w Kkq - 0 13,c1d2,0
r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/1pnB4/3bKBNR w Kkq - 2 14,e1d1,0
r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/2nB4/1q1K1BNR w kq - 0 15,d1e2,0
r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/5P2/2nBK3/5BNR w kq - 2 16,e2d1,0
r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/4nP2/3B4/3K1BNR w kq - 4 17,d1e1,0
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2,d5d4,1
rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3,d4c3,1
rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4,g8f6,1
rnbqkb1r/ppp1pppp/5n2/8/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5,e7e5,1
rnbqkb1r/ppp2ppp/5n2/P3p3/1P1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 6,c8f5,1
rn1qkb1r/ppp2ppp/5n2/P3pb2/1P1P4/2p2P2/2P1P1PP/1RBQKBNR b Kkq - 0 7,b8c6,1
r2qkb1r/ppp2ppp/2n2n2/P3pb2/1P1P4/2p1PP2/2P3PP/1RBQKBNR b Kkq - 0 8,c6b4,1
r2qkb1r/ppp2ppp/5n2/P3pb2/1n1P2P1/2p1PP2/2P4P/1RBQKBNR b Kkq - 0 9,f5c2,1
